tanggal,Philip_5Y,Philip_10Y,India_5Y,India_10Y,Brazil_5Y,Brazil_10Y,Turki_5Y,Turki_10Y,Mexico_5Y,Mexico_10Y,Malaysia_5Y,Malaysia_10Y,Thailand_5Y,Thailand_10Y,China_5Y,China_10Y,South_Africa_5Y,South_Africa_10Y,Argentina_5Y,Argentina_10Y,Colombia_5Y,Colombia_10Y,Indonesia_5Y,Indonesia_10Y
2025-01-27,65.675,113.94,48.615,91.905,180.05,286.805,263.955,359.285,126.76,204.07,46.44,77.495,43.82,68.37,56.31,80.09,199.345,309.385,1039.94,950.895,197.125,319.225,76.325,125.315
2025-01-28,64.13,111.945,48.48,91.84,179.465,287.02,260.12,355.75,127.46,204.0,45.54,76.38,43.47,67.965,54.78,78.38,195.775,305.73,1018.11,935.79,199.2,322.02,75.22,123.975
2025-01-29,63.715,111.355,48.62,92.165,178.05,286.0,259.935,355.75,128.605,206.06,46.09,77.115,43.18,67.6,56.445,80.31,195.585,305.625,1007.36,927.36,197.135,321.0,76.3,125.385
2025-01-30,62.925,110.57,47.985,91.35,177.685,285.86,257.995,353.345,130.665,209.29,46.295,77.42,42.63,67.095,55.475,80.36,193.48,303.55,1011.32,927.27,196.805,319.85,76.175,125.26
2025-01-31,65.02,113.295,48.575,92.035,179.61,286.911,254.55,349.695,134.23,211.38,46.575,78.68,42.83,67.07,56.47,81.515,194.73,304.52,1019.17,929.965,203.27,325.22,76.7,125.925
2025-02-03,66.585,115.37,48.73,92.235,177.11,283.295,260.635,355.565,129.015,205.705,46.915,79.06,44.58,69.225,56.68,81.715,205.42,315.405,1035.48,945.95,199.99,319.33,77.35,126.69
2025-02-04,65.72,114.175,48.265,91.6,174.045,281.77,255.195,350.425,127.01,204.97,45.975,77.845,43.765,68.23,56.095,81.045,200.69,310.7,1023.56,935.2,201.445,324.345,76.515,125.58
2025-02-05,66.36,115.095,48.4,91.565,172.65,281.18,254.245,349.4,125.67,203.77,46.305,78.28,44.25,68.83,57.76,82.99,201.565,311.685,1030.5,941.21,198.83,322.41,77.245,126.585
2025-02-06,65.59,114.17,48.54,91.87,174.025,280.32,253.68,355.565,125.58,202.915,45.715,77.57,43.485,67.92,56.755,81.88,201.24,310.905,1029.99,935.305,197.05,323.34,76.21,125.36
2025-02-07,65.245,113.64,48.4,91.42,174.11,282.545,253.24,348.72,124.28,202.445,45.02,76.62,44.354,68.345,54.98,79.795,200.305,310.33,1033.46,938.285,194.55,321.025,75.64,124.565
2025-02-10,65.075,113.295,48.465,91.48,173.45,279.34,253.375,348.565,122.67,199.37,45.205,76.805,43.67,68.065,53.495,76.15,203.21,313.605,1050.61,954.74,193.33,318.845,76.025,124.945
2025-02-11,65.075,113.32,48.91,92.195,172.105,279.42,254.105,349.095,120.305,197.805,44.93,76.435,43.405,67.745,52.045,74.625,204.52,314.545,1080.98,975.3,188.38,313.78,75.66,124.49
2025-02-12,63.88,111.61,47.99,90.7,169.925,276.04,253.58,348.885,118.34,195.04,44.14,76.47,42.765,66.905,48.56,71.46,204.07,313.635,1070.54,965.24,185.075,310.005,74.755,124.49
2025-02-13,62.83,110.045,46.925,89.18,168.21,274.23,254.105,355.565,116.995,193.23,43.255,75.19,42.465,66.495,46.105,68.115,199.52,308.91,1057.75,964.645,181.68,306.795,73.21,122.325
2025-02-14,59.72,105.84,47.12,89.22,166.55,272.935,245.475,340.545,117.53,193.965,41.14,72.37,40.155,63.615,43.82,65.43,193.78,303.43,1044.5,944.565,180.005,303.975,70.48,118.81
2025-02-17,59.29,105.22,46.975,88.845,166.095,272.695,245.1,355.565,116.715,193.31,40.68,71.69,39.53,62.79,44.475,67.5,192.41,301.605,1044.28,944.43,179.51,303.7,69.36,117.265
2025-02-18,58.305,103.975,46.695,88.635,164.33,270.495,245.355,340.53,117.315,193.01,39.97,70.81,39.12,62.325,42.59,64.19,192.905,302.49,1080.39,972.99,181.595,304.38,68.485,116.23
2025-02-19,58.415,104.025,46.505,88.23,164.015,270.025,247.405,342.655,117.725,194.255,40.14,70.98,38.83,61.915,43.24,63.775,197.835,308.465,1081.73,976.975,182.54,306.155,69.085,116.935
2025-02-20,59.35,105.32,46.24,87.94,164.925,271.77,247.31,342.505,117.66,194.39,40.35,72.36,38.975,62.1,44.13,65.335,197.185,307.605,1088.53,983.575,185.38,309.906,69.66,117.695
2025-02-21,61.11,107.785,46.35,88.17,168.94,274.98,253.525,349.655,121.07,196.98,41.42,73.845,39.345,62.575,46.645,68.345,196.64,306.985,1071.09,972.735,191.47,316.071,71.57,120.255
2025-02-24,62.955,110.355,46.77,91.315,171.255,279.0,252.87,350.12,122.09,199.0,43.155,73.77,40.595,64.15,45.745,66.77,195.755,307.42,1087.24,974.855,193.11,323.0,73.925,120.31
2025-02-25,66.13,114.745,46.545,91.15,171.615,280.07,255.82,352.375,122.05,199.825,45.48,76.92,41.75,65.63,47.44,68.78,197.89,308.735,1091.57,979.905,191.365,320.93,76.205,123.295
