tanggal,Yield_BRA_MAY_54,Yield_CHIL_JAN_54,Yield_COL_NOV_54,Yield_INDO_SEP_54,Yield_KSA_JAN_54,Yield_MEX_MAY_55,Yield_SOAF_NOV_54,Yield_US_CT_30Y,Spread_BRA_MAY_54,Spread_CHIL_JAN_54,Spread_COL_NOV_54,Spread_INDO_SEP_54,Spread_KSA_JAN_54,Spread_MEX_MAY_55,Spread_SOAF_NOV_54,Yield_BRA_JAN_56,Spread_BRA_JAN_56
2019-08-12,4.735,3.084,4.04,3.946,3.95,4.273,5.658,2.133,260.2,95.1,190.7,181.3,181.7,214.0,352.5,,
2019-08-13,4.741,3.047,4.01,3.894,3.963,4.269,5.629,2.164,257.7,88.3,184.6,173.0,179.9,210.5,346.5,,
2019-08-14,4.742,2.971,3.986,3.853,3.801,4.234,5.564,2.019,272.3,95.2,196.7,183.4,178.2,221.5,354.5,,
2019-08-15,4.743,2.911,3.966,3.76,3.781,4.19,5.536,1.974,276.9,93.7,199.2,178.6,180.7,221.6,356.2,,
2019-08-16,4.722,2.906,3.959,3.695,3.801,4.173,5.528,2.036,268.6,87.0,192.3,165.9,176.5,213.7,349.2,,
2019-08-19,4.733,2.933,3.987,3.774,3.844,4.231,5.52,2.088,264.5,84.5,189.9,168.6,175.6,214.3,343.2,,
2019-08-20,4.727,2.919,3.969,3.765,3.837,4.209,5.494,2.039,268.8,88.0,193.0,172.6,179.8,217.0,345.5,,
2019-08-21,4.715,2.913,3.956,3.78,3.863,4.23,5.51,2.073,264.2,84.0,188.3,170.7,179.0,215.7,343.7,,
2019-08-22,4.708,2.924,3.939,3.759,3.819,4.242,5.524,2.106,260.2,81.8,183.3,165.3,171.3,213.6,341.8,,
2019-08-23,4.699,2.921,3.921,3.77,3.784,4.219,5.492,2.026,267.3,89.5,189.5,174.4,175.8,219.3,346.6,,
2019-08-26,4.709,2.924,3.918,3.711,3.794,4.22,5.492,2.036,267.3,88.8,188.2,167.5,175.8,218.4,345.6,,
2019-08-27,4.704,2.893,3.865,3.715,3.731,4.171,5.477,1.951,275.3,94.2,191.4,176.4,178.0,222.0,352.6,,
2019-08-28,4.692,2.812,3.78,3.658,3.707,4.113,5.437,1.972,272.0,84.0,180.8,168.6,173.5,214.1,346.5,,
2019-08-29,4.676,2.8,3.77,3.633,3.628,4.092,5.412,1.965,271.1,83.5,180.5,166.8,166.3,212.7,344.7,,
2019-08-30,4.665,2.798,3.763,3.631,3.633,4.082,5.354,1.964,270.1,83.4,179.9,166.7,166.9,211.8,339.0,,
