Sum of PRICE,Column Labels,,,,
Row Labels,CDS 10Y,CDS 1Y,CDS 3Y,CDS 5Y,CDS 7Y
13/03/2012,210.325,40.215,99.2,153.85,186.635
14/03/2012,205.415,39.315,96.97,150.325,182.3
15/03/2012,204.225,39.165,96.59,149.635,181.36
16/03/2012,198.56,38.075,93.93,145.5,176.335
19/03/2012,195.105,37.445,92.415,143.055,173.305
20/03/2012,214.965,41,99.405,155.5,189.805
21/03/2012,217.315,41.44,100.49,157.185,191.86
22/03/2012,227.275,43.305,105.06,164.35,200.65
23/03/2012,224.92,42.83,103.945,162.63,198.56
26/03/2012,222.855,42.425,103.045,161.165,196.755
27/03/2012,221.105,42.095,102.265,159.95,195.235
28/03/2012,230.095,43.765,106.375,166.405,203.16
29/03/2012,232.475,44.24,107.565,168.215,205.32
30/03/2012,229.385,43.62,106.085,165.935,202.57
02/04/2012,226.275,49.33,108.33,163.845,199.9
03/04/2012,226.105,49.25,108.195,163.655,199.7
04/04/2012,233.135,50.91,111.81,168.965,205.965
05/04/2012,232.93,50.845,111.69,168.83,205.905
06/04/2012,233.35,50.78,111.69,169.36,206.21
09/04/2012,237.805,51.79,113.955,172.75,210.22
10/04/2012,237.82,51.72,113.82,172.585,210.145
11/04/2012,237.275,51.535,113.48,172.085,209.59
12/04/2012,231.765,50.375,110.95,168.2,204.79
13/04/2012,232.875,50.615,111.51,169.04,205.81
16/04/2012,223.16,58.78,109.405,171.18,201.26
17/04/2012,218.425,57.525,107.075,167.54,196.985
18/04/2012,223.71,58.94,109.72,171.65,201.775
19/04/2012,224.775,59.23,110.265,172.5,202.77
20/04/2012,226.005,59.555,110.895,173.475,203.895
23/04/2012,229.56,60.53,112.755,176.31,207.165
24/04/2012,224.87,59.27,110.415,172.67,202.905
25/04/2012,222.27,58.63,109.22,170.75,200.605
26/04/2012,222.675,58.725,109.415,171.06,200.965
27/04/2012,230.54,60.785,113.27,177.115,208.075
30/04/2012,227.175,59.955,111.755,174.67,205.105
01/05/2012,226.5,59.735,111.36,174.08,204.45
02/05/2012,224.465,59.23,110.43,172.59,202.66
03/05/2012,225.08,59.4,110.76,173.1,203.245
04/05/2012,226.68,59.835,111.58,174.37,204.715
07/05/2012,231.71,61.18,114.125,178.305,209.295
08/05/2012,231.995,61.28,114.245,178.5,209.53
09/05/2012,247.71,65.42,122.04,190.66,223.775
10/05/2012,245.105,64.745,120.79,188.68,221.43
11/05/2012,248.82,65.715,122.605,191.5,224.765
14/05/2012,259.395,68.6,128.01,199.83,234.425
15/05/2012,265.575,70.205,130.995,204.52,239.965
16/05/2012,272.995,71.93,134.21,209.5,246.4
17/05/2012,270.645,72.15,134.655,210.165,245.315
18/05/2012,280.15,74.68,139.39,217.55,253.935
21/05/2012,274.67,73.285,136.795,213.41,249.025
22/05/2012,264.615,70.56,131.735,205.54,239.86
23/05/2012,284.585,75.95,141.815,221.205,258.05
24/05/2012,278.5,77.38,144.475,225.31,256.34
25/05/2012,311.13,85.58,159.82,249.16,285.355
28/05/2012,295.085,81.145,151.555,236.24,270.57
29/05/2012,279.24,105.405,166.425,234.59,260.64
30/05/2012,290.6,109.77,173.31,244.2,271.265
31/05/2012,305,80,163,245.14,282.5
01/06/2012,315,80,165,254.04,292.165
04/06/2012,315.19,80.08,165.225,253,291.86
05/06/2012,302.93,76.985,158.86,243.16,280.505
06/06/2012,275.655,70.03,144.525,221.235,255.225
07/06/2012,271.415,69.02,142.46,218,251.385
08/06/2012,273.595,85.54,145.195,219.32,253.24
11/06/2012,267.32,83.535,141.895,214.335,247.44
12/06/2012,253.575,79.16,134.5,203.215,234.655
13/06/2012,248.21,77.525,131.735,198.975,229.725
14/06/2012,248.63,64.51,122.155,194.61,228.245
15/06/2012,240.615,62.38,118.155,188.215,220.75
18/06/2012,238.27,61.71,117.015,186.44,218.645
19/06/2012,237.945,61.645,116.925,186.265,218.4
20/06/2012,250.09,65.44,120.605,193.275,228.16
21/06/2012,256.81,67.25,123.97,198.61,234.4
22/06/2012,259.04,67.82,125.035,200.345,236.425
25/06/2012,268.825,70.375,129.885,208.025,245.42
26/06/2012,269.355,70.445,130.055,208.375,245.86
27/06/2012,264.53,69.18,127.745,204.665,241.475
28/06/2012,263.775,68.965,127.385,204.09,240.785
29/06/2012,269.5,58.765,115,191.575,247
02/07/2012,265.445,57.9,113.405,188.62,243.38
03/07/2012,265.665,44,103.055,184.075,241.785
04/07/2012,259.535,43,100.74,179.89,236.235
05/07/2012,260.77,43.185,101.195,180.75,237.335
06/07/2012,267.8,44.355,103.985,185.73,243.84
09/07/2012,273.16,45.2,106.1,189.5,248.775
10/07/2012,259.09,42.82,100.55,179.615,235.885
11/07/2012,251.77,41.585,97.68,174.5,229.205
12/07/2012,258.595,42.72,100.405,179.315,235.455
13/07/2012,248,41.205,97.625,175.62,224
16/07/2012,249.535,41.385,98.265,176.955,225.3
17/07/2012,247.51,41.03,97.455,175.5,223.465
18/07/2012,246.09,40.89,97.145,174.83,222.425
19/07/2012,240.135,39.8,94.615,170.35,216.865
20/07/2012,243.045,40.355,95.985,172.74,219.695
23/07/2012,257.82,42.71,101.71,183.085,232.97
24/07/2012,262.26,43.425,103.445,186.205,236.96
25/07/2012,262.665,43.47,103.595,186.475,237.305
26/07/2012,253.64,41.98,100.085,180.14,229.205
27/07/2012,247.34,40.94,97.64,175.7,223.525
30/07/2012,239.51,39.67,94.71,170.315,216.545
31/07/2012,238.045,39.355,94.025,169.15,215.15
01/08/2012,238.65,39.45,94.285,169.615,215.72
02/08/2012,239.705,39.66,94.82,170.5,216.76
03/08/2012,237.26,39.24,93.845,168.73,214.5
06/08/2012,230.25,38.095,91.21,163.885,208.235
07/08/2012,226.42,37.485,89.76,161.235,204.815
08/08/2012,228.065,37.795,90.54,162.565,206.405
09/08/2012,223.475,37.04,88.755,159.355,202.31
10/08/2012,225.28,37.28,89.375,160.5,203.825
13/08/2012,229.36,37.94,91.07,163.5,207.58
14/08/2012,232.015,38.38,92.155,165.435,210.015
15/08/2012,232.015,38.41,92.255,165.545,210.08
16/08/2012,233.605,38.725,93.035,166.855,211.615
17/08/2012,233.19,38.625,92.84,166.5,211.18
20/08/2012,230.035,38.08,91.63,164.31,208.38
21/08/2012,230.08,38.065,91.65,164.34,208.405
22/08/2012,230.225,38.09,91.74,164.47,208.555
23/08/2012,228.735,37.79,91.065,163.34,207.195
24/08/2012,233.66,38.61,93.095,166.96,211.735
27/08/2012,232.875,38.475,92.875,166.5,211.075
28/08/2012,236.105,38.985,94.205,168.88,214.095
29/08/2012,239.285,39.515,95.47,171.16,216.95
30/08/2012,251.475,41.54,100.385,179.9,228.005
31/08/2012,253.935,41.915,101.35,181.67,230.245
03/09/2012,248.98,41.04,99.38,178.14,225.8
04/09/2012,241.185,39.78,96.375,172.72,218.84
05/09/2012,240.985,39.71,96.235,172.47,218.57
06/09/2012,218.3,35.95,87.14,156.15,197.93
07/09/2012,212.58,35.04,84.965,152.195,192.815
10/09/2012,210.135,34.61,84.03,150.495,190.64
11/09/2012,208.53,34.34,83.41,149.37,189.2
12/09/2012,203.59,33.525,81.465,145.86,184.72
13/09/2012,202.25,33.32,80.98,144.955,183.53
14/09/2012,182.23,29.965,72.875,130.5,165.305
17/09/2012,181.585,29.91,72.83,130.31,164.905
18/09/2012,187.175,30.815,75.05,134.25,169.895
19/09/2012,205,22,66,129.31,182
20/09/2012,206.51,24.91,71.71,142.185,182.29
21/09/2012,206.115,24.845,71.585,141.92,181.955
24/09/2012,217.635,26.23,75.69,150,192.23
25/09/2012,224.085,26.99,77.92,154.41,197.905
26/09/2012,225.86,27.205,78.555,155.65,199.48
27/09/2012,218.08,26.25,75.81,150.22,192.565
28/09/2012,218.9,38,82.91,149.71,189.46
01/10/2012,217.6,37.7,82.37,148.745,188.205
02/10/2012,219,37.935,82.915,149.71,189.415
03/10/2012,215.35,37.05,81,145.66,194.5
04/10/2012,213.12,35.825,78.36,141.19,192.845
05/10/2012,211.69,35.6,77.89,140.33,191.6
08/10/2012,216.025,25.965,71.62,139.72,194.225
09/10/2012,221.345,26.6,73.415,143.23,199.05
10/10/2012,222.72,26.75,73.855,144.07,200.265
11/10/2012,208,27.515,76,141.82,186
12/10/2012,199.1,26.325,72.74,135.74,178.02
15/10/2012,194.865,25.745,71.24,132.89,174.24
16/10/2012,184.37,24.34,67.39,125.705,164.825
17/10/2012,188,22.5,70,122.665,164
18/10/2012,171.31,22.135,68.89,120.665,153.05
19/10/2012,173.225,22.375,69.67,122.005,154.735
22/10/2012,183,22.16,69.27,124.25,161.95
23/10/2012,188.68,22.87,71.53,128.25,167.065
24/10/2012,185,34.21,75,127.5,164.54
25/10/2012,185,33.39,73.24,124.5,165
26/10/2012,197.965,35.76,78.455,133.325,176.615
29/10/2012,198.425,35.795,78.62,133.62,177.05
30/10/2012,199.305,35.94,78.985,134.23,177.84
31/10/2012,188,29.95,65.84,129.25,169
01/11/2012,190,33.79,74.3,130.685,171
02/11/2012,183.24,31.815,70,126.5,164.435
05/11/2012,185,31.985,70.44,127.28,166
06/11/2012,183.28,31.14,68.6,123.99,163.49
07/11/2012,183,31.89,70.275,126.925,163.415
08/11/2012,180.14,31.725,69.94,126.38,160.86
09/11/2012,188.85,33.25,73.35,132.565,168.705
12/11/2012,183,33.195,73.305,132.43,168
13/11/2012,183,33.955,75.01,135.5,169.19
14/11/2012,182.255,33.825,74.74,134.995,168.545
15/11/2012,182.87,33.94,75.02,135.48,169.13
16/11/2012,190.69,35.38,78.245,141.305,176.385
19/11/2012,181.98,33.765,74.745,134.95,168.425
20/11/2012,176.53,32.74,72.5,130.88,163.32
21/11/2012,171.92,31.89,70.645,171.92,159.065
22/11/2012,167.895,31.16,69.035,124.585,155.375
23/11/2012,164.89,30.565,67.76,122.285,152.555
26/11/2012,167.33,31.02,68.83,124.17,154.855
27/11/2012,165.065,30.59,67.9,122.5,152.775
28/11/2012,166.155,30.81,68.425,123.4,153.85
29/11/2012,164.415,30.46,67.66,122.06,152.21
30/11/2012,162.435,30.075,66.845,120.59,150.38
03/12/2012,164.745,30.495,67.855,122.38,152.56
04/12/2012,164.435,30.44,67.75,122.165,152.28
05/12/2012,164.75,30.515,67.94,122.5,152.625
06/12/2012,165.715,30.67,68.315,123.18,153.51
07/12/2012,166.145,30.74,68.495,123.5,153.895
10/12/2012,167.995,31.085,69.34,123.832,155.68
11/12/2012,166.545,30.815,68.76,123.969,154.355
12/12/2012,163.605,30.27,67.575,121.77,151.645
13/12/2012,162.685,30.11,67.23,121.12,150.8
14/12/2012,165.245,30.59,68.325,123.06,153.19
17/12/2012,166.37,30.8,68.875,123.995,154.285
18/12/2012,164.98,30.55,68.33,122.975,152.985
19/12/2012,164.895,30.545,68.34,122.96,152.94
20/12/2012,177.645,33.32,72.155,130.5,163.61
21/12/2012,179.64,33.6,73,132.02,165.475
26/12/2012,179.325,33.77,73.335,131.61,165.12
27/12/2012,180.515,33.77,73.745,132.51,166.33
28/12/2012,182.5,34.195,74.655,134.05,168.52
02/01/2013,177.145,33.095,72.335,129.795,163.5
03/01/2013,171.15,32.015,69.95,125.45,157.98
04/01/2013,171.925,32.175,70.32,126.06,158.71
07/01/2013,169.45,31.705,69.36,124.31,156.47
08/01/2013,195.08,22.23,68.28,129.405,166
09/01/2013,197.06,24.77,73.005,130.115,169.26
10/01/2013,200.485,26.555,78.315,139.545,191.47
11/01/2013,208.705,27.655,81.61,145.375,198.965
14/01/2013,194.805,25.785,76.19,135.665,176.365
15/01/2013,201.985,26.725,79,140.68,192.87
16/01/2013,208.46,27.58,81.575,145.25,198.78
17/01/2013,206.62,27.335,80.875,143.995,197.14
19/01/2013,199.75,26.435,78.235,139.245,190.915
21/01/2013,197.68,26.14,77.47,137.83,179.06
22/01/2013,195,26,76,139,176
23/01/2013,193.055,25.745,75.285,137.68,174.285
25/01/2013,195.5,26,76,137.5,175.5
28/01/2013,198.62,26,77,136.405,178
29/01/2013,200.61,29.075,79.73,139.5,179.305
30/01/2013,205,27,80,145.985,193
31/01/2013,206.15,27.145,80.475,146.845,194.06
01/02/2013,203.57,26.805,79.5,145.04,191.765
04/02/2013,212.745,28.01,83.19,151.685,190.01
05/02/2013,206.895,37.95,85.1,147.665,194.91
06/02/2013,204.615,37.545,84.22,146.08,192.895
07/02/2013,204.06,37.42,83.975,145.67,192.395
08/02/2013,203.615,37.32,83.785,145.355,192
11/02/2013,205.115,37.585,84.47,146.5,193.385
12/02/2013,198.8,36.425,81.89,142,177.73
13/02/2013,199.09,36.49,82.065,142.265,178.025
14/02/2013,198.63,36.435,81.95,142.015,177.66
15/02/2013,196.99,36.085,81.21,140.785,176.165
18/02/2013,196.73,36.035,81.19,140.675,175.975
19/02/2013,193.485,35.425,79.835,138.33,173.06
20/02/2013,197.89,32.22,81.765,138.205,175.675
21/02/2013,201.015,32.745,83.125,140.5,178.525
22/02/2013,197.76,32.165,81.72,138.135,175.585
25/02/2013,199.535,32.445,82.53,139.45,177.21
26/02/2013,201,32.7,83.21,140.64,178.39
27/02/2013,196,36.5,77,137.77,177
28/02/2013,196.04,35,77,137.66,176.97
01/03/2013,197,34.425,76.34,139.175,174.37
04/03/2013,197.095,34.415,76.395,139.275,174.465
05/03/2013,198,34.915,77.53,141.305,175.615
06/03/2013,188.14,33.17,73.685,134.28,166.87
07/03/2013,184.35,32.475,72.16,131.5,163.45
08/03/2013,181.925,32.1,71.345,129.94,161.405
11/03/2013,182.5,32.225,71.695,130.5,162
12/03/2013,182.76,32.265,71.805,130.7,162.235
13/03/2013,183.415,32.385,72.095,131.185,162.81
14/03/2013,189.53,24.615,69.33,130.5,164.79
15/03/2013,189.365,24.59,69.29,130.41,164.66
18/03/2013,196.49,25.5,71.955,135.4,170.93
19/03/2013,196.895,25.555,72.13,135.715,171.295
20/03/2013,209.07,27.46,74.375,141.83,180.645
21/03/2013,210.83,27.695,75.05,143.045,182.195
22/03/2013,210.31,38.315,84.845,147.51,187.79
25/03/2013,211.57,37.78,85,144.715,194.095
26/03/2013,224.5,41.5,89.5,158.5,205.5
27/03/2013,226.84,41.925,90.445,160.18,207.67
28/03/2013,232.285,45.53,98.225,163.945,204.935
01/04/2013,228.76,45.725,97.695,161.75,202.22
02/04/2013,226.795,45.39,96.86,160.345,200.47
03/04/2013,215,40,95,161.5,190
04/04/2013,212.36,39.47,93.805,159.5,187.645
05/04/2013,220.015,45.88,96.565,158.45,197.535
08/04/2013,214.435,44.72,94.2,154.5,192.54
09/04/2013,208.61,43.49,91.62,150.28,187.295
10/04/2013,213,41.5,91,145.5,191
11/04/2013,210,38.5,83,142.35,186
12/04/2013,210.125,38.535,83.1,142.5,186.16
15/04/2013,208.095,39.055,84.29,144.5,183.195
16/04/2013,202.96,38.08,82.205,140.92,178.66
17/04/2013,206.545,36.41,81.795,142.5,181.455
18/04/2013,209.405,36.91,82.945,144.5,183.98
19/04/2013,203.665,36.14,81.235,141.5,178.545
22/04/2013,202.49,35.94,80.855,140.79,177.585
23/04/2013,203.285,35.62,80.15,139.5,180.445
24/04/2013,206,37.5,82,139.5,186
25/04/2013,202,25,77,139.64,182
26/04/2013,197.47,24.425,75.27,136.5,177.9
29/04/2013,198.49,34.5,77.5,129.66,176.485
30/04/2013,193.38,33.88,75.62,129.5,172.925
01/05/2013,196.065,34.355,76.7,131.34,175.355
02/05/2013,191.83,33.605,75.04,128.5,171.565
03/05/2013,187.39,32.805,73.285,125.5,167.58
06/05/2013,185.67,32.555,72.765,124.5,166.11
07/05/2013,184.175,32.335,72.215,123.5,164.77
08/05/2013,183.085,24.625,67.835,123.5,160.405
09/05/2013,188.055,25.215,69.485,126.5,164.62
10/05/2013,190.95,25.61,70.595,128.5,167.195
13/05/2013,196,34.5,74,129.665,172
14/05/2013,197.3,34.735,74.52,130.56,173.165
15/05/2013,204.95,31.585,78.855,137.5,180.665
16/05/2013,207.805,31.995,79.91,139.365,183.155
17/05/2013,201.98,31.73,79.29,138.3,177.58
20/05/2013,207,33.5,78,138.5,182
21/05/2013,207.69,33.615,78.29,139,182.635
22/05/2013,212.405,34.37,80.08,142.17,186.795
23/05/2013,224.41,36.415,84.845,150.495,197.53
24/05/2013,215.2,38.115,85.595,151.715,192.795
27/05/2013,221.055,39.32,88.35,156.56,198.35
28/05/2013,211.81,38.03,85.5,151.5,189.405
29/05/2013,226,40.5,91.05,161.35,202.005
30/05/2013,229.415,47.21,92.485,165,206.045
31/05/2013,243.015,54.885,101.405,175,218.45
03/06/2013,253.08,64.535,117.5,186.81,230.665
04/06/2013,243.91,62.18,113.24,180,222.24
05/06/2013,247.56,58.02,112.21,187,220.32
06/06/2013,258,43.75,105.5,187,227.5
07/06/2013,262.945,44.595,107.57,190.67,231.935
10/06/2013,264.4,71.945,126,196.505,242.095
11/06/2013,305.51,83.345,145.965,227.5,280.015
12/06/2013,312.02,85.165,149.165,232.5,286.185
13/06/2013,276.335,77.835,136.35,212.5,255.82
14/06/2013,250.155,70.385,123.34,192.335,231.58
17/06/2013,247.84,69.675,122.14,190.5,229.41
18/06/2013,263.095,74.095,129.9,202.5,243.705
19/06/2013,294.24,81.705,143.245,223.26,268.865
20/06/2013,355.57,99.005,170.97,267.495,323.55
21/06/2013,323.65,90.255,155.835,243.455,294.4
24/06/2013,359.87,100.545,173.66,271.14,327.63
25/06/2013,325.585,97.165,162.065,247.5,297.125
26/06/2013,285.42,85.18,142.085,217,260.49
27/06/2013,269.925,80.4,134.17,205,246.22
28/06/2013,276.48,56.295,128.575,206.17,250.3
01/07/2013,262.21,53.35,121.95,195.5,237.37
02/07/2013,264.82,53.895,123.22,197.5,239.765
03/07/2013,289.89,59.07,135.085,216.465,262.67
04/07/2013,293.705,59.84,136.86,219.265,266.105
05/07/2013,280.84,57.17,130.815,209.63,254.41
08/07/2013,295.94,73.7,137.405,218,268.5
09/07/2013,285.2,70.845,132.125,209.79,258.59
10/07/2013,316.725,78.775,146.945,233.28,287.44
11/07/2013,282.39,69.96,130.555,207.5,255.965
12/07/2013,288.705,71.67,133.775,212.5,261.93
15/07/2013,280.93,69.68,130.115,206.665,254.78
16/07/2013,282.115,69.925,130.615,207.5,255.835
17/07/2013,279.37,69.24,129.365,205.5,253.365
18/07/2013,265.25,65.65,122.7,195,240.49
19/07/2013,269.3,66.625,124.55,197.935,244.12
22/07/2013,261.065,64.595,120.825,192,236.75
23/07/2013,261.1,64.59,120.835,192,236.75
24/07/2013,269.63,66.745,124.88,198.39,244.565
25/07/2013,290.865,72.17,135.025,214.32,264.01
26/07/2013,278.19,68.98,129.095,205,252.515
29/07/2013,286.495,71.04,133.04,211.21,260.135
30/07/2013,290.795,72.17,135.17,214.515,264.13
31/07/2013,299.57,72.5,137.86,220.33,271.855
01/08/2013,291.47,70.475,134.025,214.28,264.44
02/08/2013,302.66,73.375,139.53,222.88,274.77
05/08/2013,292.195,70.67,134.495,215,265.2
06/08/2013,262.145,70.685,134.545,215,265.165
07/08/2013,296.495,71.77,136.63,218.31,269.2085
08/08/2013,294.785,71.33,135.815,217,267.6
09/08/2013,302.495,73.175,139.355,222.695,274.65
12/08/2013,296.105,71.615,136.465,218.04,268.85
13/08/2013,292.295,70.76,134.835,215.36,265.47
14/08/2013,295.745,71.68,136.585,218,268.625
15/08/2013,307.29,74.52,142.03,226.655,279.21
16/08/2013,319.445,78.95,150.465,240,292.02
19/08/2013,374.92,92.96,177.26,282.5,343.305
20/08/2013,348.545,86.385,164.745,262.5,319.02
21/08/2013,380.975,94.555,180.365,287.35,349.04
22/08/2013,377.58,93.86,179.02,285,345.99
23/08/2013,364.715,90.555,172.73,275,334
26/08/2013,359.71,89.235,170.325,271.215,329.42
27/08/2013,400.48,99.53,190.03,302.5,367.165
28/08/2013,388,96.275,183.85,292.795,355.575
29/08/2013,344.555,95.605,182.575,270,319.51
30/08/2013,322.645,112.5,200,278.14,309.09
02/09/2013,338.205,118.025,209.91,291.825,324.15
03/09/2013,344.92,120.415,214.185,297.71,330.63
04/09/2013,341.7,119.34,212.27,295,327.58
05/09/2013,354.375,109.26,205.71,290,333.45
06/09/2013,338.045,107,200,280,319.39
09/09/2013,314.17,99.235,185.64,260,296.695
10/09/2013,293.33,94.415,181.5,247.5,278.89
11/09/2013,320.31,94.36,181.44,247.5,294.645
12/09/2013,310.235,91.42,175.82,239.815,285.455
13/09/2013,324.095,95.465,183.64,250.5,298.21
16/09/2013,303.45,89.33,171.915,234.48,279.15
17/09/2013,313.87,92.335,177.77,242.5,288.735
18/09/2013,281.675,82.805,159.455,217.5,259.015
19/09/2013,269.1,79.15,152.465,208,247.585
20/09/2013,286.49,83.78,158.85,218.72,262.03
23/09/2013,304.395,89.005,168.88,232.5,278.495
24/09/2013,321.225,93.985,178.36,245.5,293.995
25/09/2013,321.25,93.955,178.35,245.5,294.015
26/09/2013,313.46,91.615,173.96,293.5,286.895
27/09/2013,330.275,96.6,183.45,252.5,302.36
30/09/2013,340.885,93.09,176.91,260.39,307.165
01/10/2013,326.73,89.175,169.515,249.5,294.335
02/10/2013,331.5,90.505,172.07,253.2,298.675
03/10/2013,330.635,90.215,171.56,252.5,297.885
04/10/2013,321.065,87.535,166.52,245.125,289.195
07/10/2013,321.315,87.68,166.88,245.5,289.515
08/10/2013,320.775,87.465,166.51,245,288.97
09/10/2013,316.095,86.205,164.11,241.4,284.725
10/10/2013,294.69,80.32,152.955,225,265.39
11/10/2013,290.7,79.225,150.905,222,261.835
14/10/2013,289.965,78.89,150.66,221.63,260.85
15/10/2013,280.155,76.16,145.47,214.005,251.93
16/10/2013,268.34,72.965,139.395,205,241.285
17/10/2013,255.365,69.375,132.56,195,229.565
18/10/2013,257.995,70.03,133.87,197,231.945
21/10/2013,257.975,70.005,133.9,197,231.92
22/10/2013,251.465,68.235,130.53,192,226.03
23/10/2013,248.955,67.475,129.12,190,223.735
24/10/2013,246.49,66.835,127.91,188.18,221.55
25/10/2013,242.355,65.685,125.745,185,217.815
28/10/2013,248.735,67.44,129.18,190,223.63
29/10/2013,254.455,69.02,132.22,194.45,228.835
30/10/2013,273.795,51.625,123.03,195.62,241.28
31/10/2013,269.35,51.605,123.015,195.5,238.635
01/11/2013,282.255,54.1,129.005,205,250.175
04/11/2013,305.685,58.735,140.15,222.5,271.27
05/11/2013,309.145,59.38,141.725,225,274.32
06/11/2013,303.2,58.275,139.13,220.81,269.125
07/11/2013,301.69,57.955,138.415,219.71,267.8
08/11/2013,325.255,62.5,149.315,237,288.825
11/11/2013,325.44,62.655,149.77,237.5,289.21
12/11/2013,331.905,63.98,152.995,242.5,295.11
13/11/2013,330.915,63.765,152.495,241.675,294.185
14/11/2013,310,58.65,140.325,222.5,273.905
15/11/2013,298.66,80.585,146.72,213.32,263.405
18/11/2013,289.52,78.09,142.3,206.825,255.345
19/11/2013,277.855,45,125,214.7,251.67
20/11/2013,280.825,63.5,136.5,220,255.625
21/11/2013,283.195,64.08,137.805,222,257.81
22/11/2013,274.67,62.1,133.61,215.31,250.095
25/11/2013,273.065,61.715,132.9,214.12,248.675
26/11/2013,286.405,64.755,139.48,224.68,260.885
27/11/2013,315.015,71.96,155.065,239.5,283.915
28/11/2013,312.21,71.365,153.83,237.5,281.465
29/11/2013,310.685,70.995,153.08,236.35,280.085
02/12/2013,301.8,68.93,148.765,229.625,272.1
03/12/2013,311.935,71.31,153.94,237.5,281.315
04/12/2013,311.095,71.09,153.52,236.85,280.555
05/12/2013,309.18,70.69,152.7,235.5,278.885
06/12/2013,296.025,67.66,146.19,225.445,266.965
09/12/2013,295.375,67.5,145.965,225,266.38
10/12/2013,283.63,64.755,140.09,215.965,255.73
11/12/2013,281.105,64.155,138.84,214,253.385
12/12/2013,273.205,62.36,134.97,208,246.285
13/12/2013,275.665,62.955,136.3,210,248.585
16/12/2013,282.08,64.41,139.595,215,254.42
17/12/2013,282.875,64.6,140.035,215.66,255.175
18/12/2013,284.625,64.955,140.88,217,256.765
19/12/2013,279.58,63.825,138.475,213.23,252.26
20/12/2013,293.535,67.59,142.57,221.21,263.45
23/12/2013,297.855,68.58,144.78,224.495,267.33
24/12/2013,299.45,68.98,145.635,225.78,268.805
25/12/2013,299.18,68.895,145.595,225.665,268.5
26/12/2013,297.785,69.195,145.285,225.29,266.98
27/12/2013,305.14,70.93,148.975,231,273.665
30/12/2013,312.11,72.53,152.52,236.45,280.04
31/12/2013,307.64,71.42,150.255,233,275.995
01/01/2014,307.58,71.2,150.17,233.005,275.835
02/01/2014,313.355,72.56,153.09,237.5,281.095
03/01/2014,316.35,73.245,154.595,239.84,283.83
06/01/2014,332.69,77.085,162.825,252.5,298.685
07/01/2014,319.09,73.835,156.015,242,286.34
08/01/2014,300.17,69.375,146.65,227.5,269.24
09/01/2014,303.755,70.29,148.575,230.345,272.525
10/01/2014,292.9,67.715,143.185,222,262.695
13/01/2014,290.98,67.125,142.14,220.5,260.95
14/01/2014,295.635,68.175,144.42,224.03,265.115
15/01/2014,289.625,66.995,141.94,220,260.02
16/01/2014,288.12,66.48,140.87,218.39,258.405
17/01/2014,284.135,65.42,138.685,215.045,254.6
20/01/2014,291.68,66.985,142.135,220.32,261.05
21/01/2014,288.23,66.4,140.945,218.47,258.49
22/01/2014,290.565,66.87,141.98,220,260.395
23/01/2014,298.835,68.91,146.32,226.64,268.065
24/01/2014,309.355,71.585,152.115,235.7,278.245
27/01/2014,310.005,72.05,153.27,237.5,279.685
28/01/2014,296.165,68.86,146.505,227,267.265
29/01/2014,303.25,70.055,149.105,231,272.7
30/01/2014,290.855,63,152,229.5,264.95
31/01/2014,311.945,64.285,155.155,234.75,284.79
03/02/2014,318.09,65.715,158.79,240.18,290.935
04/02/2014,308.415,63.845,154.35,233.5,282.495
05/02/2014,291.95,60.135,145.44,220,266.72
06/02/2014,289.39,59.085,142.9453,216.17,263.115
07/02/2014,289.53,58.97,142.725,215.795,262.925
10/02/2014,285.635,58.1,140.785,212.83,259.335
11/02/2014,283.415,57.49,139.365,210.67,256.975
12/02/2014,286.82,58.14,140.975,213,259.925
13/02/2014,290.825,59.105,143.335,216.49,263.89
14/02/2014,278.475,56.635,137.43,207.63,252.905
17/02/2014,273.245,55.2,134.08,202.47,247.29
18/02/2014,277.72,55.89,135.79,205,250.825
19/02/2014,281.25,56.66,137.745,208,254.295
20/02/2014,280.605,56.67,137.8,208,254
21/02/2014,277.775,56.115,136.49,206,251.505
24/02/2014,277.505,55.935,136.2,205.49,251.04
25/02/2014,266.29,53.61,130.59,197,240.75
26/02/2014,264.53,52.895,128.895,194.455,238.345
27/02/2014,263.215,52.485,127.945,193,236.825
28/02/2014,258.325,40.3,114.755,184.67,230.845
03/03/2014,271.48,42.105,120.02,193,241.88
04/03/2014,258.87,39.895,113.775,183,228.705
05/03/2014,252.375,31.05,106.21,177,223.955
06/03/2014,242.465,29.645,101.46,169.06,214.485
07/03/2014,255.605,31.04,106.27,177,225.27
10/03/2014,260.56,31.915,109.38,182,230.685
11/03/2014,257.375,30.895,105.64,183,226.61
12/03/2014,259.805,31.235,106.835,185,228.95
13/03/2014,266.17,32.055,109.715,190,234.89
14/03/2014,261.08,31.515,107.94,187,230.815
17/03/2014,254.59,30.655,105.135,182,224.815
18/03/2014,250.255,29.98,102.845,178,220.35
19/03/2014,253.925,30.3,104.015,180,223.16
20/03/2014,271.7,32.975,108.28,190,237.395
21/03/2014,263.205,32.435,106.555,187,231.99
24/03/2014,260.995,32.065,105.48,185,229.715
25/03/2014,259.4,31.8,104.64,183.5,228.045
26/03/2014,257.57,31.53,103.8,182,226.295
27/03/2014,257.95,31.505,103.79,182,226.45
28/03/2014,249.965,30.515,100.58,176.35,219.4
31/03/2014,257.85,32,98.745,175,223.21
01/04/2014,238.86,30.09,96.395,169.5,210.165
