tanggal,CDS_CBIN_5Y,CDS_CBIN_10Y
2019-08-09,93.255,169.4
2019-08-12,98.69,176.855
2019-08-13,94.56,171.32
2019-08-14,99.52,178.115
2019-08-15,99.79,178.635
2019-08-16,95.035,172.215
2019-08-19,93.62,170.12
2019-08-20,93.345,169.625
2019-08-21,91.865,167.625
2019-08-22,91.765,167.425
2019-08-23,93.84,170.25
2019-08-26,93.445,168.54
2019-08-27,93.09,168.005
2019-08-28,93.91,166.03
2019-08-29,91.815,163.22
2019-08-30,89.18,162.4
2019-09-02,89.045,162.16
2019-09-03,87.38,161.63
2019-09-04,83.78,156.58
2019-09-05,79.685,150.79
2019-09-06,78.0,148.195
2019-09-09,77.445,148.54
2019-09-10,77.32,148.25
2019-09-11,77.235,147.965
2019-09-12,75.445,145.365
2019-09-13,75.26,145.05
2019-09-16,77.125,147.5
2019-09-17,77.31,147.4
2019-09-18,77.195,147.265
2019-09-19,77.015,147.04
2019-09-20,87.285,149.975
2019-09-23,88.005,151.025
2019-09-24,88.215,159.415
2019-09-25,89.45,161.245
2019-09-26,89.865,161.695
2019-09-27,90.25,162.255
2019-09-30,90.53,162.605
2019-10-01,90.795,162.96
2019-10-02,93.61,166.9
2019-10-03,93.66,167.015
2019-10-04,92.415,165.345
2019-10-07,94.605,168.41
2019-10-08,93.625,166.96
2019-10-09,91.765,164.375
2019-10-10,91.135,163.445
2019-10-11,87.125,157.695
2019-10-14,87.635,158.205
2019-10-15,85.945,155.82
2019-10-16,85.52,155.155
2019-10-17,84.925,154.355
2019-10-18,82.33,150.645
2019-10-21,80.82,148.46
2019-10-22,79.07,145.865
2019-10-23,79.145,146.005
2019-10-24,78.75,145.465
2019-10-25,77.105,143.105
2019-10-28,75.635,140.905
2019-10-29,75.105,140.07
2019-10-30,76.245,144.46
2019-10-31,76.72,145.255
2019-11-01,75.025,140.295
2019-11-04,73.855,138.54
2019-11-05,72.7,136.755
2019-11-06,73.345,137.16
2019-11-07,72.105,135.435
2019-11-08,71.745,134.755
2019-11-11,73.295,137.645
2019-11-12,72.0,139.025
2019-11-13,74.23,142.345
2019-11-14,74.47,142.77
2019-11-15,72.61,141.505
2019-11-18,72.61,143.045
2019-11-19,72.815,143.345
2019-11-20,74.965,146.635
2019-11-21,75.105,146.945
2019-11-22,74.975,146.675
2019-11-25,74.535,145.975
2019-11-26,73.995,145.15
2019-11-27,73.245,144.015
2019-11-28,73.855,144.89
2019-11-29,73.325,144.085
2019-12-02,74.4,145.625
2019-12-03,75.685,147.455
2019-12-04,74.11,145.255
2019-12-05,73.605,144.425
2019-12-06,71.935,141.85
2019-12-09,72.57,142.695
2019-12-10,72.205,142.135
2019-12-11,71.48,141.025
2019-12-12,70.65,139.855
2019-12-13,68.92,137.06
2019-12-16,66.555,133.53
2019-12-17,65.475,131.77
2019-12-18,63.66,128.965
2019-12-19,63.795,133.06
2019-12-20,63.71,132.915
2019-12-23,62.87,131.54
2019-12-24,62.54,131.01
2019-12-25,62.28,130.36
2019-12-26,62.36,131.65
2019-12-27,62.06,131.18
2019-12-30,62.29,131.52
2019-12-31,62.24,131.99
2020-01-01,62.185,131.83
2020-01-02,61.65,130.975
2020-01-03,63.99,134.78
2020-01-06,65.29,136.965
2020-01-07,65.215,136.855
2020-01-08,63.925,134.765
2020-01-09,62.315,132.145
2020-01-10,62.69,132.735
2020-01-13,61.325,130.575
2020-01-14,61.52,130.855
2020-01-15,60.49,129.235
2020-01-16,59.85,123.73
2020-01-17,59.955,123.84
2020-01-20,59.975,123.825
2020-01-21,61.94,126.88
2020-01-22,62.565,127.875
2020-01-23,63.795,129.8
2020-01-24,63.05,128.7
2020-01-27,68.275,136.805
2020-01-28,64.75,131.24
2020-01-29,65.355,132.075
2020-01-30,68.0,132.755
2020-01-31,67.87,132.555
2020-02-03,65.615,129.29
2020-02-04,62.95,125.31
2020-02-05,61.495,126.44
2020-02-06,62.655,128.145
2020-02-07,65.1,125.26
2020-02-10,63.91,123.555
2020-02-11,62.34,121.285
2020-02-12,60.425,118.43
2020-02-13,61.195,119.52
2020-02-14,60.26,118.155
2020-02-17,59.995,117.77
2020-02-18,60.01,126.615
2020-02-19,58.38,124.08
2020-02-20,58.845,124.82
2020-02-21,60.32,127.195
2020-02-24,64.98,134.57
2020-02-25,65.21,135.05
2020-02-26,67.99,139.365
2020-02-27,78.955,156.09
2020-02-28,101.65,181.575
2020-03-02,92.08,168.65
2020-03-03,90.15,165.9
2020-03-04,85.78,159.955
2020-03-05,90.64,166.005
2020-03-06,109.35,192.23
2020-03-09,180.33,287.77
2020-03-10,148.115,247.59
2020-03-11,171.805,277.97
2020-03-12,219.11,337.685
2020-03-13,183.135,293.305
2020-03-16,213.5,331.21
2020-03-17,210.71,328.375
2020-03-18,233.395,355.57
2020-03-19,269.49,399.17
2020-03-20,253.22,326.18
2020-03-23,290.82,367.465
2020-03-24,255.95,330.8
2020-03-25,219.585,292.985
2020-03-26,192.23,262.88
2020-03-27,214.94,288.3
2020-03-30,227.57,306.18
2020-03-31,222.345,303.955
2020-04-01,242.71,326.79
2020-04-02,249.875,334.72
2020-04-03,261.98,348.015
