tanggal_lelang_pricing,tanggal_setelmen,metode,seri,code,jatuh_tempo,kupon_imbalan,lowest_incoming_yield_price,way_incoming,highest_incoming_yield_price,lowest_awarded_yield_price,way_awarded,highest_awarded_yield_price,target_penerbitan,total_penawaran,jumlah_penawaran_per_lelang,total_penawaran_memenuhi_benchmark,jumlah_penawaran_memenuhi_benchmark_per_lelang,total_penawaran_diterima,jumlah_penawaran_diterima_per_lelang,bid_to_cover_ratio,owners_estimate,tenor,,
2021-08-31,2021-09-02,Lelang,FR0088,bm15,2036-06-15,0.0625,0.0625,0.0629123,0.0633,0.0625,0.0627,0.0628,21000000,4237700,116108800,1550000,44400000,1550000,21000000,2.734,0.0627,14.78986995,,
2021-08-31,2021-09-02,Lelang,FR0092,bm20,2042-06-15,0.07125,0.0673,0.0677322,0.0694,0.0673,0.0674575,0.0675,21000000,33976900,116108800,26550000,44400000,7350000,21000000,4.622707482993198,0.0677,20.78979465,,
2021-08-31,2021-09-02,Lelang,FR0089,bm30,2051-08-15,0.06875,0.0679,0.0684383,0.0693,0.0679,0.0681852,0.0683,21000000,2955700,116108800,200000,44400000,200000,21000000,14.7785,0.0682,29.95680975,,
2021-09-14,2021-09-16,Lelang,SPN03211215,spn03m,2021-12-15,Diskonto,0.0275,0.0281394,0.0285,0.0275,0.027706,0.0278,21000000,7050000,80665000,5200000,36800000,1000000,21000000,7.05,0.028,0.252054795,,
2021-09-14,2021-09-16,Lelang,SPN12220915,spn12m,2022-09-15,Diskonto,0.0298,0.0306639,0.034,0.0298,0.03,0.0302,21000000,7995000,80665000,1600000,36800000,1600000,21000000,4.996875,0.03,1.002739726,,
2021-09-14,2021-09-16,Lelang,FR0090,bm05,2027-04-15,0.05125,0.0505,0.0511511,0.0601,0.0505,0.0508508,0.0509,21000000,21691400,80665000,9800000,36800000,6550000,21000000,3.311664122137405,0.0509,5.584115806,,
2021-09-14,2021-09-16,Lelang,FR0091,bm10,2032-04-15,0.06375,0.0596,0.0601845,0.062,0.0596,0.0598941,0.06,21000000,18715200,80665000,10700000,36800000,6600000,21000000,2.835636363636364,0.06,10.58453114,,
2021-09-14,2021-09-16,Lelang,FR0088,bm15,2036-06-15,0.0625,0.0621,0.0627432,0.0637,0.0621,0.0623777,0.0626,21000000,5651400,80665000,3150000,36800000,1400000,21000000,4.036714285714286,0.0626,14.75154004,,
2021-09-14,2021-09-16,Lelang,FR0092,bm20,2042-06-15,0.07125,0.067,0.067742,0.0685,0.067,0.0672879,0.0674,21000000,15349900,80665000,4700000,36800000,2200000,21000000,6.977227272727273,0.0674,20.75146235,,
2021-09-14,2021-09-16,Lelang,FR0089,bm30,2051-08-15,0.06875,0.0676,0.0680786,0.0687,0.0676,0.0678988,0.068,21000000,4212100,80665000,1650000,36800000,1650000,21000000,2.552787878787879,0.0679,29.9184773,,
