tanggal_lelang_pricing,code,tenor,ust_10y,ust_2y,vix,move,dxy,ndf_1m,ndf_12m,idr_regn,ust_3m,xau_gold,inflation,slope_10y_2y,slope_2y_3m,cds_5y,indo_10y,tenor_x_ust10y,vix_x_move,prev_owners_estimate_code,prev_way_awarded_code,days_since_prev_auction_code,auctions_since_prev_code,prev_bid_to_cover_ratio_code,prev_total_penawaran_code,prev_total_penawaran_diterima_code,owners_estimate
11/04/2023,bm30,28.3394935,3.42,4.012,18.97,143,102.578,0.34894645,1.375654275,14902,4.992,1991.48,5.01,-0.592,-0.98,94,6.767547,96.92106777,2712.71,7.06,7.05869,14,76,1.60475,1283800,800000,6.99
11/04/2023,bm15,15.17316906,3.42,4.012,18.97,143,102.578,0.34894645,1.375654275,14902,4.992,1991.48,5.01,-0.592,-0.98,94,6.767547,51.89223819,2712.71,7,6.99996,14,76,1.360571429,2857200,2100000,6.9
11/04/2023,bm05,5.341546886,3.42,4.012,18.97,143,102.578,0.34894645,1.375654275,14902,4.992,1991.48,5.01,-0.592,-0.98,94,6.767547,18.26809035,2712.71,6.36,6.35993,14,76,1.341085714,9387600,7000000,6.34
11/04/2023,bm10,9.845311431,3.42,4.012,18.97,143,102.578,0.34894645,1.375654275,14902,4.992,1991.48,5.01,-0.592,-0.98,94,6.767547,33.67096509,2712.71,6.77,6.76521,14,76,1.725238095,12680500,7350000,6.64
11/04/2023,bm20,20.1724846,3.42,4.012,18.97,143,102.578,0.34894645,1.375654275,14902,4.992,1991.48,5.01,-0.592,-0.98,94,6.767547,68.98989733,2712.71,7.03,7.02926,14,76,1.30336,1629200,1250000,6.95
11/04/2023,spn12m,0.996577687,3.42,4.012,18.97,143,102.578,0.34894645,1.375654275,14902,4.992,1991.48,5.01,-0.592,-0.98,94,6.767547,3.40829569,2712.71,5.47,5.47,14,76,1,1350000,1350000,5.43
11/04/2023,spn03m,0.246406571,3.42,4.012,18.97,143,102.578,0.34894645,1.375654275,14902,4.992,1991.48,5.01,-0.592,-0.98,94,6.767547,0.842710473,2712.71,4.46,4.459,14,76,1,150000,150000,4.45
16/05/2023,bm15,15.07734428,3.505,4.013,17.12,127.89,102.434,0.027027027,1.222972973,14800,5.133,2016.49,4.35,-0.508,-1.12,95.545,6.543351,52.8460917,2189.4768,6.9,6.89963,35,77,2.800923077,5461800,1950000,6.63
16/05/2023,spn12m,0.709103354,3.505,4.013,17.12,127.89,102.434,0.027027027,1.222972973,14800,5.133,2016.49,4.35,-0.508,-1.12,95.545,6.543351,2.485407256,2189.4768,5.43,5.43,35,77,4.95,9900000,2000000,5.28
16/05/2023,bm05,5.245722108,3.505,4.013,17.12,127.89,102.434,0.027027027,1.222972973,14800,5.133,2016.49,4.35,-0.508,-1.12,95.545,6.543351,18.38625599,2189.4768,6.34,6.33988,35,77,3.36627907,7237500,2150000,6.05
